x-ray-id, request-id, lambda-init, lambda-end, initialization-init, initialization-end, input-init, input-end, resize-init, resize-end,s3-init,s3-end, resize-oper-init, resize-oper-end, write-init, write-end,diff-lambda,diff-init,diff-input,diff-resize-event,diff-s3,diff-write,diff-resize-op,diff-resize-event2,diff-lambda-init,diff-resize-event3
1-5cdb9196-b445d7e600c2fc9edded8bde,7e78f27e-c273-40ca-874d-c048819fd9fc,1557893526.521,1557893531.623,0,0,1557893526.58,1557893526.58,1557893526.581,1557893531.675,1557893526.582,1557893526.634,1557893526.635,1557893531.675,1557893531.676,1557893531.676,5.102,0,0.00,5.094,0.052,0.000,5.040,0.002,5.10199999809265,5.042
1-5cdb912a-17251f9810f355f0dfe8f33c,1504a45f-1b43-4d5a-8803-0efdfa3bbba9,1557893418.511,1557893423.302,0,0,1557893418.569,1557893418.57,1557893418.57,1557893423.353,1557893418.571,1557893418.637,1557893418.638,1557893423.353,1557893423.354,1557893423.354,4.791,0,0.000999927520751953,4.78299999237061,0.066,0.000,4.715,0.00200009346008301,4.79100012779236,4.71700000762939
1-5cdb9349-672c146a6e1cbc1aa23ae6e8,14a88c8a-ed70-4b25-b9ae-9baf1e32503e,1557893961.408,1557893964.559,0,0,1557893961.47,1557893961.47,1557893961.471,1557893964.613,1557893961.471,1557893961.53,1557893961.53,1557893964.613,1557893964.614,1557893964.614,3.151,0,0.00,3.142,0.0590000152587891,0.000,3.08299994468689,0,3.15100002288818,3.08299994468689
1-5cdb8fa3-32341b8067220ec0973a5240,569342ba-2875-4f2f-8127-f6b92b54351b,1557893027.342,1557893029.864,0,0,1557893027.403,1557893027.403,1557893027.404,1557893029.895,1557893027.404,1557893027.464,1557893027.464,1557893029.895,1557893029.912,1557893029.913,2.522,0,0.000,2.491,0.060,0.001,2.431,0.000,2.5220000743866,2.431
1-5cdb8ff5-d9cad11e568a473989e84276,5d2f8fd2-97cb-4bd7-b045-24b014fa3091,1557893109.815,1557893114.604,0,0,1557893109.87,1557893109.87,1557893109.871,1557893114.652,1557893109.871,1557893109.911,1557893109.911,1557893114.652,1557893114.652,1557893114.653,4.789,0,0.00,4.781,0.040,0.001,4.741,0.000,4.78900003433228,4.741
1-5cdb9005-f4bcf29b9e682a9e4e07da49,62b0fc12-c27c-4b11-a6b5-7c6bf27864d3,1557893125.723,1557893128.265,0,0,1557893125.78,1557893125.78,1557893125.781,1557893128.313,1557893125.781,1557893125.82,1557893125.821,1557893128.312,1557893128.313,1557893128.313,2.542,0,0.00,2.532,0.0390000343322754,0.000,2.491,0.00200009346008301,2.54200005531311,2.49300003051758
1-5cdb938c-82ef68ec2572868066b7cf5a,0677131e-5582-4961-a85e-62da9949654e,1557894028.219,1557894035.238,0,0,1557894028.281,1557894028.282,1557894028.282,1557894035.293,1557894028.283,1557894028.329,1557894028.329,1557894035.293,1557894035.293,1557894035.294,7.019,0,0.001,7.011,0.046,0.001,6.964,0.001,7.01899981498718,6.965
1-5cdb927a-a162abc88d0a759f4df9a563,5c7d4be8-c1f0-4fa9-b187-7f225a3f8d80,1557893754.319,1557893759.038,0,0,1557893754.378,1557893754.379,1557893754.379,1557893759.078,1557893754.38,1557893754.472,1557893754.473,1557893759.078,1557893759.079,1557893759.079,4.719,0,0.001,4.699,0.0919997692108154,0.000,4.605,0.00200033187866211,4.71900010108948,4.60700035095215
1-5cdb95b2-3266dd787a9835e8d7e20349,783b0192-1a1f-4e35-9716-7702ceb0485b,1557894578.377,1557894586.691,0,0,1557894578.447,1557894578.447,1557894578.447,1557894586.734,1557894578.448,1557894578.581,1557894578.582,1557894586.734,1557894586.735,1557894586.751,8.314,0,0.000,8.287,0.133,0.016,8.152,0.002,8.31399989128113,8.154
1-5cdb914a-35882fc83294e190032f9838,28136a6d-a32b-413f-9ac7-63c5967be094,1557893450.16,1557893456.861,0,0,1557893450.218,1557893450.218,1557893450.219,1557893456.895,1557893450.219,1557893450.266,1557893450.266,1557893456.895,1557893456.895,1557893456.912,6.70099997520447,0,0.000,6.676,0.047,0.017,6.629,0.000,6.70099997520447,6.629
1-5cdb8f78-a8987811ff490f69e75401fd,593968b7-703c-4fe3-a7ed-5fd3337c5ba1,1557892984.269,1557892989.487,0,0,1557892984.325,1557892984.325,1557892984.326,1557892989.534,1557892984.326,1557892984.377,1557892984.377,1557892989.534,1557892989.535,1557892989.535,5.218,0,0.000,5.208,0.051,0.000,5.157,0.000,5.21799993515015,5.157
1-5cdb94a4-d21242ec7f5f104aa664b53a,4ce9fb6d-a2c4-4db6-9036-2cc5c8bc8a7f,1557894308.189,1557894310.274,0,0,1557894308.26,1557894308.261,1557894308.261,1557894310.314,1557894308.262,1557894308.32,1557894308.32,1557894310.314,1557894310.314,1557894310.315,2.085,0,0.000999927520751953,2.053,0.057999849319458,0.001,1.99399995803833,0.00100016593933105,2.08500003814697,1.99500012397766
1-5cdb90f9-ede6e4fdd3901f6d3ec28dc1,13c745dd-ff0d-4771-b502-726ec4ea60d1,1557893369.556,1557893372.18,0,0,1557893369.613,1557893369.614,1557893369.614,1557893372.214,1557893369.615,1557893369.676,1557893369.676,1557893372.214,1557893372.215,1557893372.215,2.62400007247925,0,0.001,2.600,0.061,0.000,2.538,0.001,2.62400007247925,2.539
1-5cdb92e2-56849c34385b125c1f6b0c00,e55b99aa-79a2-46f5-8120-8bacb237de2c,1557893858.218,1557893861.9,0,0,1557893858.279,1557893858.28,1557893858.28,1557893861.952,1557893858.281,1557893858.337,1557893858.337,1557893861.952,1557893861.953,1557893861.953,3.68200016021729,0,0.000999927520751953,3.67199993133545,0.056,0.000,3.615,0.000999927520751953,3.68200016021729,3.6159999370575
1-5cdb90fd-d018ef2cbf50463e42049565,a7424110-f6a6-4b4b-ab40-a8467a539683,1557893373.757,1557893381.965,0,0,1557893373.815,1557893373.815,1557893373.816,1557893382.015,1557893373.816,1557893373.873,1557893373.873,1557893382.015,1557893382.016,1557893382.016,8.208,0,0.000,8.199,0.057,0.000,8.142,0.000,8.20799994468689,8.142
1-5cdb92b0-3fe7a25dffe435fb547e0720,bbdf2166-785a-425d-9f37-4a3ebdb74251,1557893808.057,1557893810.138,0,0,1557893808.118,1557893808.118,1557893808.119,1557893810.179,1557893808.119,1557893808.173,1557893808.173,1557893810.179,1557893810.18,1557893810.181,2.081,0,0.000,2.060,0.054,0.000999927520751953,2.006,0.000,2.08100008964539,2.006
1-5cdb8fac-baafc11a7da8428669fab5dc,e79607df-755f-4c8a-973d-2402a8c8678e,1557893036.424,1557893041.203,0,0,1557893036.48,1557893036.48,1557893036.481,1557893041.234,1557893036.481,1557893036.514,1557893036.515,1557893041.234,1557893041.234,1557893041.235,4.779,0,0.00,4.753,0.033,0.001,4.719,0.001,4.77900004386902,4.720
1-5cdb95c3-c9371cf21d819f26a383949c,05416328-9155-410e-861c-8f2a16e0ec13,1557894595.546,1557894598.392,0,0,1557894595.612,1557894595.613,1557894595.613,1557894598.435,1557894595.614,1557894595.693,1557894595.694,1557894598.434,1557894598.435,1557894598.452,2.846,0,0.001,2.822,0.079,0.017,2.740,0.003,2.84599995613098,2.743
1-5cdb92c9-1bb22972bb9375f0f247f376,e1e7f95e-413f-431d-97a2-582b556aa897,1557893833.22,1557893835.938,0,0,1557893833.281,1557893833.281,1557893833.282,1557893835.974,1557893833.282,1557893833.404,1557893833.404,1557893835.974,1557893835.975,1557893835.992,2.71799993515015,0,0.000,2.692,0.122,0.017,2.570,0.000,2.71799993515015,2.570
1-5cdb94d5-0a655788b7dbae35999cfeea,dfc73658-fedc-4af6-80cc-2067e968893b,1557894357.47,1557894360.594,0,0,1557894357.54,1557894357.54,1557894357.541,1557894360.633,1557894357.541,1557894357.694,1557894357.694,1557894360.633,1557894360.634,1557894360.634,3.12400007247925,0,0.00,3.092,0.153,0.000,2.939,0.000,3.12400007247925,2.939
1-5cdb90a8-2f28b37d5631bb20d5df8b8b,19eab6a3-9419-494c-bde6-2d79715f3fea,1557893288.961,1557893297.1,0,0,1557893289.019,1557893289.019,1557893289.019,1557893297.133,1557893289.02,1557893289.108,1557893289.108,1557893297.133,1557893297.133,1557893297.134,8.13899993896484,0,0.000,8.114,0.0880000591278076,0.001,8.025,0.000999927520751953,8.13899993896484,8.0259997844696
1-5cdb8f20-ac49e988161da622ace3dbec,6ef84804-db91-46da-b2ca-9333c1d514e8,1557892896.962,1557892899.586,0,0,1557892897.016,1557892897.017,1557892897.017,1557892899.632,1557892897.018,1557892897.073,1557892897.073,1557892899.632,1557892899.633,1557892899.633,2.624,0,0.001,2.615,0.055,0.000,2.559,0.001,2.62400007247925,2.560
1-5cdb9515-d1305d508005758833ca1c68,585113a8-b908-4d2c-8d8d-941b74da92e3,1557894421.213,1557894425.654,0,0,1557894421.278,1557894421.278,1557894421.279,1557894425.695,1557894421.279,1557894421.32,1557894421.32,1557894425.695,1557894425.712,1557894425.712,4.441,0,0.000,4.416,0.0409998893737793,0.000,4.375,0,4.44099998474121,4.375
1-5cdb8fa7-276e2af8a92dc1489bd7f618,3c73271a-62e6-4f95-ab5a-3baac8614589,1557893031.446,1557893034.847,0,0,1557893031.502,1557893031.502,1557893031.503,1557893034.894,1557893031.503,1557893031.548,1557893031.548,1557893034.894,1557893034.895,1557893034.895,3.401,0,0.000,3.391,0.045,0.000,3.346,0.000,3.4009997844696,3.346
1-5cdb9065-d7d008d78ee9f9c885594e1f,d7792a21-5e4d-4f7e-8f90-10c5e9656bb2,1557893221.159,1557893226.882,0,0,1557893221.216,1557893221.216,1557893221.217,1557893226.914,1557893221.217,1557893221.291,1557893221.291,1557893226.914,1557893226.915,1557893226.915,5.723,0,0.000,5.697,0.074,0.000,5.623,0.000,5.72300004959106,5.623
1-5cdb9050-72a95dc6072c98070bc6a6fa,fb856198-44b9-4fa3-8591-a39e51574a2e,1557893200.484,1557893206.343,0,0,1557893200.548,1557893200.548,1557893200.549,1557893206.392,1557893200.549,1557893200.588,1557893200.588,1557893206.392,1557893206.393,1557893206.393,5.859,0,0.000,5.843,0.039,0.000,5.804,0.000,5.85899996757507,5.804
1-5cdb94e2-c896090e9bee330826d48d3e,430795d1-11f3-4b94-aea9-f89525985a10,1557894370.076,1557894373.354,0,0,1557894370.14,1557894370.141,1557894370.141,1557894373.394,1557894370.142,1557894370.189,1557894370.189,1557894373.394,1557894373.395,1557894373.395,3.278,0,0.000999927520751953,3.253,0.047,0.000,3.205,0.001,3.27800011634827,3.206
1-5cdb95f9-30cdbb887f4c4c011bea4c3e,e655f3c7-2ca4-4760-8cab-08ed78af3551,1557894649.492,1557894653.052,0,0,1557894649.559,1557894649.559,1557894649.56,1557894653.094,1557894649.56,1557894649.619,1557894649.62,1557894653.094,1557894653.095,1557894653.095,3.560,0,0.000,3.53400015830994,0.0590000152587891,0.000,3.4740002155304,0.000999927520751953,3.55999994277954,3.47500014305115
1-5cdb908a-94bcd59e43337f007c9e6c6f,c6f17086-1527-4bc5-93ac-06546ad7f2dd,1557893258.105,1557893261.862,0,0,1557893258.168,1557893258.168,1557893258.168,1557893261.892,1557893258.169,1557893258.245,1557893258.245,1557893261.892,1557893261.893,1557893261.893,3.757,0,0.000,3.724,0.076,0.000,3.647,0.001,3.75699996948242,3.648
1-5cdb9202-5f602636490fe7d0f5ce5970,2d055b28-c2d6-4a13-a31c-5348fc30b947,1557893634.159,1557893638.019,0,0,1557893634.219,1557893634.219,1557893634.22,1557893638.054,1557893634.22,1557893634.276,1557893634.276,1557893638.054,1557893638.055,1557893638.072,3.860,0,0.000,3.83399987220764,0.0559999942779541,0.017,3.778,0,3.8600001335144,3.77799987792969
1-5cdb9334-1fa0414c47c1c49c85e44618,a0b22462-eda0-4787-aceb-4b36bbf7405d,1557893940.895,1557893944.958,0,0,1557893940.956,1557893940.956,1557893940.957,1557893945.013,1557893940.958,1557893940.994,1557893940.995,1557893945.013,1557893945.013,1557893945.014,4.063,0,0.000,4.056,0.036,0.001,4.018,0.002,4.06299996376038,4.020
1-5cdb8fe8-8ff7066f85b9dbc7caeb1da0,25899291-3660-49a7-893e-839347bbb32c,1557893096.69,1557893101.023,0,0,1557893096.745,1557893096.745,1557893096.746,1557893101.054,1557893096.746,1557893096.809,1557893096.809,1557893101.054,1557893101.055,1557893101.055,4.33299994468689,0,0.000,4.308,0.063,0.000,4.245,0.000,4.33299994468689,4.245
1-5cdb8f4f-e824f040e87ffc4061b2bb80,a3cd4bf3-ae04-4bd4-8896-01d608f91271,1557892943.056,1557892946.267,0,0,1557892943.11,1557892943.111,1557892943.111,1557892946.313,1557892943.112,1557892943.189,1557892943.189,1557892946.313,1557892946.314,1557892946.314,3.211,0,0.00100016593933105,3.202,0.077,0.000,3.124,0.001,3.21099996566772,3.125
1-5cdb9525-f1aeda8a7119bdc62e33b43d,7d430056-4c37-4ef0-9382-c30d2761bc85,1557894437.817,1557894441.336,0,0,1557894437.882,1557894437.882,1557894437.883,1557894441.393,1557894437.883,1557894437.927,1557894437.927,1557894441.393,1557894441.394,1557894441.394,3.519,0,0.000,3.510,0.044,0.000,3.466,0.000,3.51900005340576,3.466
1-5cdb9458-5821758a3ef02f96dc2ec854,05bdea28-93c6-4b2d-ac9c-b7f97f17a030,1557894232.198,1557894235.074,0,0,1557894232.261,1557894232.262,1557894232.262,1557894235.115,1557894232.263,1557894232.304,1557894232.304,1557894235.115,1557894235.115,1557894235.116,2.876,0,0.001,2.853,0.041,0.001,2.811,0.001,2.87599992752075,2.812
1-5cdb8f32-7bfe4e8865a6bc40f7021310,b8ccab76-0952-479b-b371-a958378ac581,1557892914.132,1557892916.507,0,0,1557892914.187,1557892914.187,1557892914.187,1557892916.535,1557892914.188,1557892914.303,1557892914.303,1557892916.534,1557892916.535,1557892916.554,2.375,0,0.000,2.348,0.115,0.019,2.231,0.002,2.375,2.233
1-5cdb91e5-07d7a18e324fcf466be726ae,fb68ac79-548b-4fe7-91e8-cc0e23f124d7,1557893605.502,1557893611.181,0,0,1557893605.562,1557893605.562,1557893605.563,1557893611.233,1557893605.563,1557893605.625,1557893605.626,1557893611.233,1557893611.234,1557893611.234,5.679,0,0.000,5.670,0.062,0.000,5.607,0.001,5.67899990081787,5.608
1-5cdb943e-bdedc8e4715592747b589d40,7ff50a81-2cc4-450b-9d11-aa44c2babaa6,1557894206.112,1557894210.158,0,0,1557894206.181,1557894206.181,1557894206.182,1557894210.213,1557894206.183,1557894206.25,1557894206.25,1557894210.213,1557894210.214,1557894210.214,4.046,0,0.000,4.031,0.0669999122619629,0.000,3.96300005912781,0.00100016593933105,4.0460000038147,3.96400022506714
1-5cdb9579-6e8ca727c3e6e257cda6164e,2f6fac53-0ad2-4315-a4f7-2ee9f03eaf92,1557894521.171,1557894523.314,0,0,1557894521.238,1557894521.238,1557894521.239,1557894523.355,1557894521.239,1557894521.276,1557894521.277,1557894523.355,1557894523.372,1557894523.372,2.143,0,0.000,2.116,0.037,0.000,2.078,0.001,2.14299988746643,2.079
1-5cdb9363-35b0a8985b1421f7751577fd,ed51d74d-3a7a-4034-8b99-ebc366405bf9,1557893987.059,1557893992.439,0,0,1557893987.121,1557893987.121,1557893987.122,1557893992.494,1557893987.123,1557893987.172,1557893987.172,1557893992.494,1557893992.494,1557893992.495,5.380,0,0.000,5.372,0.049,0.001,5.322,0.001,5.37999987602234,5.323
1-5cdb9249-fc845acd58caebfb6fbb418d,d518c142-9a71-4bb5-9a72-d56db9934a5d,1557893705.645,1557893710.338,0,0,1557893705.706,1557893705.706,1557893705.706,1557893710.373,1557893705.707,1557893705.785,1557893705.785,1557893710.373,1557893710.374,1557893710.375,4.693,0,0.000,4.667,0.078,0.001,4.588,0.001,4.69300007820129,4.589
1-5cdb9376-db7914dec4d3870c2fecb8e2,49dbd8fc-b680-4a3f-a941-c69a7b2e6681,1557894006.559,1557894012.298,0,0,1557894006.621,1557894006.622,1557894006.622,1557894012.352,1557894006.623,1557894006.686,1557894006.687,1557894012.352,1557894012.353,1557894012.354,5.739,0,0.001,5.730,0.063,0.001,5.665,0.002,5.73900008201599,5.667
1-5cdb92ff-b6344e2bde2701661b61e9e0,c7b0a59b-40a6-413d-9450-507c5d3831b3,1557893887.141,1557893892.159,0,0,1557893887.202,1557893887.202,1557893887.202,1557893892.213,1557893887.203,1557893887.298,1557893887.298,1557893892.213,1557893892.214,1557893892.214,5.018,0,0.000,5.011,0.095,0.000,4.915,0.001,5.01799988746643,4.916
1-5cdb933a-2035ed20de94c7e758b54b7b,d1976ec2-d2a5-4e71-9d75-c7b54ee9f11b,1557893946.553,1557893951.101,0,0,1557893946.613,1557893946.614,1557893946.614,1557893951.155,1557893946.615,1557893946.694,1557893946.694,1557893951.155,1557893951.156,1557893951.156,4.548,0,0.001,4.541,0.079,0.000,4.461,0.001,4.54800009727478,4.462
1-5cdb8ffc-e97ea098e38972e92d199f84,a6552406-28d6-4f0e-b64a-5aae7ad70a99,1557893116.195,1557893119.403,0,0,1557893116.25,1557893116.251,1557893116.251,1557893119.433,1557893116.252,1557893116.426,1557893116.426,1557893119.433,1557893119.434,1557893119.434,3.208,0,0.000999927520751953,3.182,0.174,0.000,3.007,0.001,3.20800018310547,3.008
1-5cdb8f47-394f1d13e0b5e02838584c24,a7dad278-fe9f-4409-bab0-04757148a4fe,1557892935.697,1557892941.465,0,0,1557892935.752,1557892935.752,1557892935.753,1557892941.494,1557892935.753,1557892935.824,1557892935.824,1557892941.493,1557892941.512,1557892941.512,5.768,0,0.000,5.741,0.071,0.000,5.669,0.001,5.76799988746643,5.670
1-5cdb8f36-7c45708c043da9967aca4fda,197bdb9f-78c3-4b02-857f-0b188d6c38fa,1557892918.123,1557892920.084,0,0,1557892918.177,1557892918.177,1557892918.178,1557892920.118,1557892918.178,1557892918.298,1557892918.298,1557892920.118,1557892920.119,1557892920.132,1.961,0,0.000,1.940,0.120,0.013,1.820,0.000,1.9610002040863,1.820
1-5cdb919d-10f577b3f44240bcf0b5da5a,7549a728-8e9b-44fb-b2dc-930d672d9cb2,1557893533.225,1557893538.419,0,0,1557893533.283,1557893533.284,1557893533.284,1557893538.455,1557893533.285,1557893533.421,1557893533.421,1557893538.455,1557893538.456,1557893538.456,5.194,0,0.001,5.171,0.136,0.000,5.034,0.001,5.19400000572205,5.035
1-5cdb90cf-f54bd6a44c90dfed31cee108,ef2f5526-5b02-4405-8aea-61dd126a6fba,1557893327.522,1557893334.462,0,0,1557893327.58,1557893327.58,1557893327.581,1557893334.495,1557893327.581,1557893327.693,1557893327.693,1557893334.495,1557893334.512,1557893334.512,6.940,0,0.00,6.914,0.112,0.000,6.802,0.000,6.93999981880188,6.802
1-5cdb95bc-d2c0e3b831cb0ad8329ac3a0,c31418e1-7e49-4cf2-b7d2-6cff0f0d2b25,1557894588.285,1557894593.952,0,0,1557894588.352,1557894588.352,1557894588.353,1557894593.994,1557894588.353,1557894588.457,1557894588.457,1557894593.994,1557894593.995,1557894593.995,5.667,0,0.000,5.641,0.104,0.000,5.537,0.000,5.66699981689453,5.537
1-5cdb931a-ad518c106ae63d86ffb4da76,f51d585d-3851-4a70-a32f-a794432dc5bd,1557893914.981,1557893916.617,0,0,1557893915.043,1557893915.043,1557893915.044,1557893916.659,1557893915.044,1557893915.121,1557893915.122,1557893916.659,1557893916.672,1557893916.672,1.636,0,0.000,1.615,0.077,0.000,1.537,0.001,1.63600015640259,1.538
1-5cdb9455-1305b4d1de2ace5ae09da06d,b42ad961-0d5d-4c7a-af88-9ebbd67abbb9,1557894229.145,1557894230.616,0,0,1557894229.208,1557894229.209,1557894229.209,1557894230.672,1557894229.21,1557894229.267,1557894229.267,1557894230.672,1557894230.673,1557894230.674,1.471,0,0.001,1.463,0.0569999217987061,0.001,1.405,0.000999927520751953,1.47099995613098,1.40599989891052
1-5cdb90eb-4062c2d7ba42375a62210e69,93169dce-ab99-496c-a281-aafd8189d0c4,1557893355.063,1557893359.164,0,0,1557893355.12,1557893355.12,1557893355.121,1557893359.214,1557893355.121,1557893355.217,1557893355.217,1557893359.214,1557893359.215,1557893359.215,4.101,0,0.00,4.093,0.096,0.000,3.997,0.000,4.1010000705719,3.997
1-5cdb948f-bb6838342b3a249d77293ae7,d3b2cbfd-6754-44a8-ab14-761c7b51b9bc,1557894287.045,1557894288.859,0,0,1557894287.109,1557894287.109,1557894287.11,1557894288.915,1557894287.11,1557894287.152,1557894287.152,1557894288.915,1557894288.916,1557894288.916,1.814,0,0.000,1.8050000667572,0.0420000553131104,0.000,1.763,0,1.81399989128113,1.76300001144409
1-5cdb937d-7b8fede8805627186cc20150,22ba318c-88e7-48ae-a186-2bb0e5b63542,1557894013.874,1557894016.959,0,0,1557894013.936,1557894013.937,1557894013.937,1557894017.013,1557894013.938,1557894013.998,1557894013.998,1557894017.013,1557894017.014,1557894017.014,3.085,0,0.001,3.076,0.060,0.000,3.015,0.001,3.08500003814697,3.016
1-5cdb9382-8cdf61c0fb5f54a069c04700,0e50a617-f0bd-441a-b47f-7cbbc566d33b,1557894018.535,1557894021.539,0,0,1557894018.598,1557894018.598,1557894018.599,1557894021.594,1557894018.599,1557894018.639,1557894018.64,1557894021.594,1557894021.595,1557894021.595,3.004,0,0.000,2.995,0.040,0.000,2.9539999961853,0.00100016593933105,3.00399994850159,2.955
1-5cdb9207-3253dc92311567a2d479226e,a0576f28-3eb1-47fe-af33-4b81a4455d46,1557893639.642,1557893646.842,0,0,1557893639.701,1557893639.701,1557893639.702,1557893646.893,1557893639.702,1557893639.754,1557893639.754,1557893646.893,1557893646.894,1557893646.894,7.200,0,0.000,7.191,0.052,0.000,7.139,0.000,7.20000004768372,7.139
1-5cdb8eee-bb36f9ac19cb230825a703e8,93f51bc3-8a36-4867-b8da-58f963b43179,1557892846.547,1557892849.308,0,0,1557892846.6,1557892846.601,1557892846.601,1557892849.354,1557892846.602,1557892846.671,1557892846.672,1557892849.354,1557892849.354,1557892849.355,2.761,0,0.00100016593933105,2.753,0.069,0.001,2.682,0.002,2.76100015640259,2.684
1-5cdb94ad-b7f56bde94d9c9981d2443ac,975f1c55-2565-49bc-bc04-f2d1c4f014ff,1557894317.566,1557894324.154,0,0,1557894317.63,1557894317.63,1557894317.631,1557894324.194,1557894317.632,1557894317.697,1557894317.697,1557894324.194,1557894324.195,1557894324.195,6.588,0,0.00,6.563,0.065,0.000,6.497,0.001,6.58800005912781,6.498
1-5cdb9037-abd7c46d0ed8c0a24e220143,816d3a1b-c1df-454d-a205-5348a1dbc192,1557893175.749,1557893179.002,0,0,1557893175.805,1557893175.805,1557893175.806,1557893179.038,1557893175.806,1557893175.989,1557893175.989,1557893179.038,1557893179.039,1557893179.039,3.253,0,0.000,3.232,0.183,0.000,3.049,0.000,3.25300002098083,3.049
1-5cdb91ec-26c053c51dd415273e3795dd,e0154157-8812-408d-98e1-15828ed204a2,1557893612.781,1557893620.199,0,0,1557893612.839,1557893612.84,1557893612.84,1557893620.234,1557893612.841,1557893612.927,1557893612.927,1557893620.234,1557893620.235,1557893620.235,7.418,0,0.000999927520751953,7.39400005340576,0.086,0.000,7.307,0.00100016593933105,7.41799998283386,7.30800008773804
1-5cdb936e-71b0250e7d0bb7b03ede13d6,553e45de-747d-4fa1-9108-08e12e3a6fed,1557893998.056,1557894001.304,0,0,1557893998.132,1557893998.132,1557893998.133,1557894001.358,1557893998.133,1557893998.173,1557893998.174,1557894001.358,1557894001.358,1557894001.359,3.248,0,0.000,3.225,0.040,0.001,3.184,0.001,3.24799990653992,3.185
